Nom,NomLuxembourgeois,Commune
Kautenbach,Kautebaach,Kiischpelt
Kayl,Kal,Kayl
Kehlen,Kielen,Kehlen
Kehmen,Kiemen,Bourscheid
Keispelt,Keespelt,Kehlen
Kleinbettingen,Klengbetten,Steinfort
Knaphoscheid,Knapphouschent,Wiltz
Kobenbour,Kuebebuer,Bech
Kockelscheuer,Kockelscheier,Roeser
Koedange,Keideng,Fischbach
Koerich,Kaerch,Koerich
Koetschette,Kietscht,Rambrouch
Kopstal,Koplescht,Kopstal
Kuborn,Keiber,Wahl
Lamadelaine,Rolleng,Petange
Landscheid,Laaschent,Tandel
Lannen,Lannen,Redange
Larochette,Fiels,Larochette
Lasauvage,Zowaasch,Differdange
Leithum,Leetem,Weiswampach
Lellig,Lelleg,Manternach
Lellingen,Lellgen,Kiischpelt
Lenningen,Lenneng,Lenningen
Lentzweiler,Lenzweiler,Wincrange
Leudelange,Leideleng,Leudelange
Levelange,Liewel,Beckerich
Liefrange,Leifreg,Lac de la Haute-Sure
Lieler,Leiler,Clervaux
Limpach,Lampech,Reckange-sur-Mess
Linger,Lenger,Kaerjeng
Lintgen,Lentgen,Lintgen
Lipperscheid,Leppschent,Bourscheid
Livange,Leiweng,Roeser
Longsdorf,Longsdref,Tandel
Lorentzweiler,Luerenzweiler,Lorentzweiler
Lullange,Lellgen,Wincrange
Lultzhausen,Lelz,Esch-sur-Sure
Luxembourg,Letzebuerg,Luxembourg
Machtum,Meechtem,Wormeldange
Mamer,Mamer,Mamer
Manternach,Manternach,Manternach
Marienthal,Mariendall,Tuntange
Marnach,Maarnech,Clervaux
Masseler,Maasseler,Goesdorf
Mecher,Mecher,Clervaux
Mecher,Meecher,Lac de la Haute-Sure
Medernach,Miedernach,Vallee de l'Ernz
Medingen,Meideng,Contern
Meispelt,Meespelt,Kehlen
Mensdorf,Menster,Betzdorf
Merkholtz,Maerkels,Kiischpelt
Mersch,Miersch,Mersch
Merscheid,Merscheet,Esch-sur-Sure
Merscheid,Mierschent,Putscheid
Mertert,Maertert,Mertert
Mertzig,Maerzeg,Mertzig
Michelau,Mechela,Bourscheid
Michelbouch,Mechelbuch,Vichten
Moersdorf,Meischdref,Mompach
Moesdorf,Miesdref,Mersch
Moestroff,Meischtref,Bettendorf
Mompach,Mompech,Mompach
Mondercange,Monnerech,Mondercange
Mondorf-les-Bains,Munneref,Mondorf-les-Bains
Moutfort,Mutfert,Contern
Mullendorf,Melleref,Steinsel
Mullerthal,Mellerdall,Waldbillig
Munsbach,Mensbech,Schuttrange
Munschecker,Menjecker,Manternach
Munshausen,Munzen,Clervaux
Nachtmanderscheid,Nuechtmanescht,Putscheid
Nagem,Nojem,Redange
Neidhausen,Naidsen,Parc Hosingen
Neuhausgen,Neihaischen,Schuttrange
Neunhausen,Nengsen,Esch-sur-Sure
Niederanven,Nidderaanwen,Niederanven
Niederdonven,Nidderdonwen,Flaxweiler
Niederfeulen,Nidderfeelen,Feulen
Niederkorn,Nidderkuer,Differdange
Niederpallen,Nidderpallen,Redange
Niederwampach,Nidderwampech,Wincrange
Nocher,Nacher,Goesdorf
Noerdange,Naerden,Beckerich
Noertrange,Naertreg,Winseler
Noertzange,Naerzeng,Bettembourg
Nommern,Noumer,Nommern
Nospelt,Nouspelt,Kehlen
Nothum,Noutem,Lac de la Haute-Sure
Oberanven,Ueweraanwen,Niederanven
Oberdonven,Uewerdonwen,Flaxweiler
Oberfeulen,Uewerfeelen,Feulen
Oberkorn,Uewerkuer,Differdange
Oberpallen,Uewerpallen,Beckerich
Oberwampach,Uewerwampech,Wincrange
Oetrange,Eiter,Contern
Olingen,Ouljen,Betzdorf
Olm,Ollem,Kehlen
Ospern,Osper,Redange
Osweiler,Uesweller,Rosport
Peppange,Peppeng,Roeser
Perle,Parel,Rambrouch
Petange,Peiteng,Petange
Petit-Bevange,Klengbeiweng,Garnich
Petit-Nobressart,Kleng-Elchert,Ell
Pettingen,Petten,Mersch
Pintsch,Pensch,Kiischpelt
Pissange,Pisseng,Reckange-sur-Mess
Platen,Platen,Preizerdaul
Pommerloch,Pommerlach,Winseler
Pontpierre,Steebrecken,Mondercange
Pratz,Proz,Preizerdaul
Prettingen,Pretten,Lintgen
Putscheid,Petscht,Putscheid
Rambrouch,Rammerech,Rambrouch
Rameldange,Rammeldang,Niederanven
Reckange,Recken,Mersch
Reckange-sur-Mess,Reckeng op der Mess,Reckange-sur-Mess
Redange,Reiden,Redange
Reichlange,Raichel,Redange
Reimberg,Remmereg,Preizerdaul
Reisdorf,Reisduerf,Reisdorf
Remerschen,Remerschen,Schengen
Remich,Reimech,Remich
Reuland,Reiland,Heffingen
Reuler,Reiler,Clervaux
Ringel,Rengel,Esch-sur-Sure
Rippig,Rippeg,Bech
Rippweiler,Rippweiler,Useldange
Rodange,Rodange,Petange
Rodenbourg,Roudemer,Junglinster
Roder,Rueder,Clervaux
Roedgen,Riedgen,Reckange-sur-Mess
Roeser,Reiser,Roeser
Rolling,Rolleng,Bous
Rollingen,Rolleng,Mersch
Roodt,Rued,Ell
Roodt-sur-Eisch,Rued,Septfontaines
Roodt-sur-Syre,Rued-Sir,Betzdorf
Rosport,Rouspert,Rosport
Roullingen,Rulljen,Wiltz
Rumelange,Remeleng,Rumelange
Rumlange,Remeljen,Wincrange
Saeul,Sell,Saeul
Sandweiler,Sandweiler,Sandweiler
Sanem,Suessem,Sanem
Sassel,Saassel,Wincrange
Savelborn,Suewelbur,Vallee de l'Ernz
Schandel,Schandel,Useldange
Scheidel,Scheedel,Bourscheid
Scheidgen,Scheedgen,Consdorf
Schengen,Schengen,Schengen
Schieren,Schieren,Schieren
Schifflange,Scheffleng,Schifflange
Schimpach,Schempech,Wincrange
Schlindermanderscheid,Schlennermanescht,Bourscheid
Schoenfels,Schendels,Mersch
Schoos,Schous,Fischbach
Schouweiler,Schuller,Dippach
Schrassig,Schraasseg,Schuttrange
Schrondweiler,Schrondweiler,Nommern
Schuttrange,Schetter,Schuttrange
Schwebach,Schweibech,Saeul
Schwebsange,Schweidsbengen,Schengen
Schweich,Schweech,Beckerich
Schwiedelbrouch,Schwiddelbrouch,Rambrouch
Selscheid,Selschent,Wiltz
Senningen,Senneng,Niederanven
Senningerberg,Sennengerbierg,Niederanven
Septfontaines,Simmern,Septfontaines
Siebenaler,Siwwenaler,Clervaux
Soleuvre,Zolwer,Sanem
Sonlez,Soller,Winseler
Sprinkange,Sprenkeng,Dippach
Stadtbredimus,Stadbriedemes,Stadtbredimus
Stegen,Steen,Vallee de l'Ernz
Steinfort,Stengefort,Steinfort
Steinheim,Steenem,Rosport
Steinsel,Steesel,Steinsel
Stockem,Stackem,Wincrange
Stolzembourg,Stolzebuerg,Putscheid
Strassen,Stroossen,Strassen
Surre,Sir,Boulaide
Syren,Siren,Weiler-la-Tour
Tadler,Todler,Esch-sur-Sure
Tandel,Tandel,Tandel
Tarchamps,Iischpelt,Lac de la Haute-Sure
Tetange,Teiteng,Kayl
Trintange,Trenteng,Waldbredimus
Troine,Tratten,Wincrange
Troisvierges,Elwen,Troisvierges
Tuntange,Tenten,Tuntange
Uebersyren,Iwwersiren,Schuttrange
Untereisenbach,Ennereesbech,Parc Hosingen
Urspelt,Ischpelt,Clervaux
Useldange,Useldeng,Useldange
Vianden,Veianen,Vianden
Vichten,Viichten,Vichten
Wahl,Wal,Wahl
Wahlhausen,Wuelessen,Parc Hosingen
Waldbillig,Waldbelleg,Waldbillig
Waldbredimus,Waldbriedemes,Waldbredimus
Walferdange,Walfer,Walferdange
Wallendorf-Pont,Wallenduerfer-Breck,Reisdorf
Walsdorf,Waalsdref,Tandel
Warken,Waarken,Ettelbruck
Wasserbillig,Waasserbelleg,Mertert
Watrange,Walter,Lac de la Haute-Sure
Wecker,Wecker,Biwer
Weicherdange,Waicherdang,Clervaux
Weidingen,Wegdichen,Wiltz
Weiler,Weller,Putscheid
Weiler-la-Tour,Weiler zum Tuerm,Weiler-la-Tour
Weiswampach,Waiswampech,Weiswampach
Welfrange,Welfreng,Dalheim
Wellenstein,Wellesteen,Schengen
Welscheid,Welschent,Bourscheid
Weydig,Weidig,Biwer
Wickrange,Wickreng,Reckange-sur-Mess
Wiltz,Wolz,Wiltz
Wilwerdange,Wilwerdang,Troisvierges
Wilwerwiltz,Welwerwolz,Kiischpelt
Wincrange,Wentger,Wincrange
Windhof,Wandhaff,Koerich
Winseler,Wanseler,Winseler
Wintrange,Wentreng,Schengen
Wolwelange,Wolwen,Rambrouch
Wormeldange,Wormer,Wormeldange
Wormeldange-Haut,Uewerwuermeldeng,Wormeldange
Zittig,Zetteg,Bech
